,0,1,2,3,4,5,6,7,8,9,10
39,1574,3773,1663,3968,1462,3084,676,3077,364.0,2045.0,536.0
40,3964,2095,3214,2025,1852,3077,364,1171,1022.0,3763.0,2045.0
41,2657,3233,3104,3913,1852,3077,364,1171,3763.0,205.0,368.0
42,3272,1727,1663,3129,1852,3077,364,1171,1022.0,3763.0,2045.0
43,1193,376,73,2838,1852,3077,364,3763,536.0,1583.0,1532.0
44,1929,3773,1695,848,2450,1644,3129,364,1171.0,1022.0,3763.0
45,3730,3773,3571,2280,2534,3129,1852,3077,364.0,1022.0,3763.0
46,3730,509,4003,3263,593,3026,3129,1852,3077.0,364.0,1022.0
47,1574,3773,1793,22,470,2947,3129,3077,1171.0,536.0,2019.0
48,1929,3773,1695,3807,3699,970,3129,1852,1022.0,3763.0,169.0
49,3964,1515,1793,3037,3129,1852,3077,364,1171.0,3763.0,536.0
50,1929,1330,1663,2384,51,819,3129,3077,364.0,1022.0,3763.0
51,3964,1515,3104,3007,3129,3077,364,3763,2045.0,2046.0,894.0
52,2589,3977,3571,3129,1852,1022,3763,536,3555.0,1532.0,2472.0
53,1929,1330,3214,626,654,2547,3291,3129,1852.0,3077.0,1171.0
54,1574,3773,1695,25,1233,420,3129,1852,3077.0,1171.0,1022.0
55,3730,509,1663,2063,621,1852,364,2045,536.0,3567.0,513.0
56,1000,2437,1793,1852,364,1022,2045,536,2297.0,3164.0,1532.0
57,1574,3773,1663,2672,2478,676,3129,1852,3077.0,364.0,536.0
58,2657,1227,925,1605,1852,3077,364,3763,2045.0,536.0,1336.0
59,1574,3773,1793,66,3084,2947,1468,3129,1852.0,364.0,1171.0
60,1574,3773,73,1995,1233,1789,345,3077,364.0,3763.0,2045.0
61,2048,1450,1663,304,3129,1852,1171,1022,2045.0,536.0,887.0
62,1574,3773,1793,1754,2271,2947,3524,1852,3077.0,364.0,1171.0
63,1574,3773,925,1718,3292,2963,3129,1852,3077.0,364.0,1171.0
64,1574,3773,4003,1728,2939,3207,1852,3077,364.0,1171.0,536.0
65,3730,509,73,2716,2838,3129,1852,3077,3763.0,2045.0,536.0
66,3433,509,3214,1808,3129,1852,3077,3763,2045.0,536.0,3942.0
67,3035,2566,1695,3129,1852,3077,364,1022,536.0,1583.0,3771.0
68,3433,3796,2101,2331,3129,1852,3077,364,1171.0,1022.0,3763.0
69,416,1727,3571,3129,1852,3077,364,1022,3763.0,2045.0,536.0
70,1574,3773,1663,22,3049,676,3129,3077,364.0,1022.0,536.0
71,3730,509,1695,970,3129,3077,1171,3763,536.0,3567.0,2734.0
72,3964,333,1695,3129,1852,3077,1171,3763,2045.0,536.0,3821.0
73,493,3773,1663,3129,1852,3077,1171,1022,3763.0,3465.0,2472.0
74,3964,1727,3571,3129,3077,364,1171,2045,536.0,3676.0,1119.0
75,2048,2527,1663,1852,3077,364,1171,1022,3763.0,2045.0,536.0
76,3433,746,2101,984,3129,1852,3077,364,1022.0,3763.0,2045.0
77,1574,3773,73,1739,2815,1789,1885,3077,364.0,1171.0,1022.0
78,1286,333,1793,1894,1852,3077,364,1171,2045.0,536.0,965.0
79,1574,3773,1793,1754,2478,2947,3129,1852,3077.0,1171.0,1022.0
80,1574,3773,73,2685,1938,3665,3003,1233,3944.0,1789.0,1155.0
81,2048,333,73,839,1852,3077,137,142,2515.0,2472.0,1348.0
82,1929,3773,1695,888,420,3129,1852,3077,364.0,1022.0,3763.0
83,2657,1500,1793,3151,1852,3077,1171,1022,3763.0,2045.0,169.0
84,1929,3773,3104,80,508,1501,3129,1852,3077.0,364.0,1171.0
85,3964,1515,1793,364,1171,1022,3763,536,2297.0,1532.0,3771.0
86,3272,1800,3104,1852,1171,1022,2045,536,3192.0,2084.0,3771.0
87,3035,3977,1663,3354,3129,1852,3077,364,1171.0,1022.0,3763.0
88,3272,976,3104,3129,1852,3077,1022,3763,2045.0,536.0,1563.0
89,3964,3533,1695,1932,3077,364,1171,1022,3763.0,2045.0,1930.0
90,3964,3773,1793,847,3129,1852,3077,364,1171.0,3763.0,536.0
91,1929,3773,1663,2300,585,819,1852,3077,364.0,1022.0,536.0
92,3272,1727,3214,3077,364,1171,2045,536,301.0,3806.0,2472.0
93,1574,3773,1663,66,1233,676,1852,364,1022.0,3763.0,536.0
94,3132,976,73,1851,3129,1852,3077,1171,536.0,3836.0,211.0
95,1574,3773,277,770,2271,13,3129,1852,364.0,1171.0,1022.0
96,1574,3773,1695,1785,2002,2271,420,3129,1852.0,3077.0,364.0
97,1193,1970,3214,3129,1852,3077,364,1171,3763.0,2045.0,816.0
98,3035,2527,3214,3541,3129,3077,364,1022,3763.0,2045.0,881.0
99,2048,3495,1793,3129,1022,3763,461,1524,3771.0,3794.0,664.0
100,1574,3773,1793,2934,1088,2465,1618,1233,2282.0,2947.0,2211.0
101,3272,3937,1793,3833,3129,1852,364,1171,1022.0,3763.0,2045.0
102,1929,3773,3214,759,3291,3129,1852,364,1022.0,3763.0,2045.0
103,3730,1330,1793,2947,1852,3077,1171,2045,2010.0,2472.0,1122.0
104,1193,93,73,1517,1852,3077,364,1022,3763.0,2045.0,2638.0
105,1286,1800,1663,65,3129,1852,3077,1171,1022.0,3763.0,2045.0
106,3964,2095,3571,3129,1852,1022,3763,536,3465.0,2614.0,2472.0
107,3272,2527,357,1852,3077,1171,1022,3763,2045.0,536.0,319.0
108,3035,2527,1793,847,1171,3763,2493,1927,702.0,2515.0,2472.0
109,3433,3796,1793,847,1852,3077,364,1171,1022.0,2850.0,1524.0
110,3964,2974,73,1789,3129,364,1022,536,205.0,1172.0,3123.0
111,1929,3773,3104,2306,2194,3913,3129,3077,3763.0,2045.0,2474.0
112,1574,3773,73,22,2929,1789,2868,3129,3077.0,3763.0,2045.0
113,2657,1227,1663,2645,1852,1171,1022,3763,1764.0,1532.0,2472.0
114,2657,1360,73,1517,3129,1852,1022,3763,2045.0,2441.0,894.0
115,3964,1515,1793,3151,3129,3077,364,1171,536.0,1830.0,1475.0
116,1193,976,1793,239,3129,3077,364,1171,3763.0,2045.0,536.0
117,1929,1330,1793,964,2947,2318,3077,364,1171.0,2045.0,536.0
118,3964,2974,4003,3683,3129,1852,3077,364,1171.0,3763.0,2045.0
119,3132,1727,1663,1873,1852,3077,364,1022,3763.0,2045.0,536.0
120,3035,3977,1793,615,3129,1022,3763,2045,536.0,2553.0,1985.0
121,3730,3773,1663,3077,1171,1022,3763,816,3701.0,1944.0,2472.0
122,3730,3773,3104,1254,3129,1852,3077,364,1171.0,1022.0,536.0
123,1574,3773,1663,2222,1233,2831,676,3077,1022.0,2045.0,536.0
124,416,333,73,3129,1852,364,1171,1022,3763.0,2045.0,69.0
125,2048,1800,73,3445,1852,364,1171,1022,2045.0,1949.0,150.0
126,3964,1461,1793,1290,3129,1852,364,1022,536.0,46.0,3333.0
127,1929,3773,3571,2814,1407,737,1171,2045,536.0,3747.0,2520.0
128,1574,3773,3214,66,2202,3291,3129,1852,3077.0,364.0,1171.0
129,1286,3495,1695,3129,1852,1171,1022,2045,536.0,1985.0,1532.0
130,3964,1621,73,290,3077,1022,3763,2045,3175.0,702.0,1532.0
131,3035,224,3214,3129,1852,3077,364,1171,536.0,712.0,2701.0
132,3730,3773,73,1789,364,1171,1022,3763,2045.0,536.0,2917.0
133,3433,746,925,842,3077,364,1171,1022,3763.0,2045.0,536.0
134,2048,3568,3214,1486,3129,1852,3077,1022,3763.0,2045.0,536.0
135,3964,1461,3571,768,3129,1852,3077,364,1171.0,3763.0,536.0
136,3730,3773,3104,3161,3077,364,1022,3763,536.0,205.0,2744.0
137,3964,1515,3571,768,3129,1852,3077,364,1171.0,1022.0,3763.0
138,1929,3773,1793,1568,1233,2947,3129,1852,3077.0,364.0,1022.0
139,416,1790,3214,3129,1852,3077,1171,3763,2045.0,2119.0,3497.0
140,2589,3977,3214,2593,3129,3077,1022,1044,1532.0,2472.0,673.0
141,2048,1500,3214,560,3129,1852,3077,1171,1022.0,3763.0,1057.0
142,3730,3773,1695,970,1852,3077,364,1171,3763.0,2045.0,2638.0
143,2657,1227,925,3728,1852,364,1171,1022,3763.0,2045.0,150.0
144,1000,1800,3214,3129,1852,3077,364,1171,1022.0,3763.0,2045.0
145,3433,509,1695,1852,3077,364,1171,3763,536.0,1563.0,2311.0
146,3433,746,1793,847,3129,1852,364,1171,3763.0,2045.0,2040.0
147,1929,1330,73,3131,654,1789,1852,3077,1171.0,1022.0,2045.0
148,3730,3773,3571,3002,3129,1852,364,1171,1022.0,3763.0,536.0
149,1929,3773,73,18,232,2838,1852,3077,364.0,1171.0,1022.0
150,1193,224,1663,819,3129,1852,3077,1171,1022.0,3763.0,2045.0
151,1929,3773,3571,225,737,1852,3077,1171,1022.0,3763.0,2045.0
152,3730,3773,1793,1407,2947,1852,3077,364,1171.0,1022.0,3763.0
153,1574,3773,73,2685,1938,3665,3003,1233,3944.0,1789.0,1155.0
154,3730,3773,3571,1726,1852,3077,1171,1022,536.0,785.0,3552.0
155,1929,1330,1793,2947,1852,3077,536,1985,2492.0,2472.0,1122.0
156,1286,2437,1663,3141,1852,3077,364,1022,2159.0,15.0,2472.0
157,1193,746,73,1789,1852,3077,364,1022,2086.0,3447.0,2564.0
158,1929,1330,1793,2947,3129,1852,3077,364,3763.0,536.0,1125.0
159,3132,1790,1793,3077,1171,1022,3763,2045,536.0,3479.0,3520.0
160,1574,3773,1663,1785,2002,2670,676,1796,3129.0,1852.0,364.0
161,3730,509,1793,1559,847,3129,1022,3763,536.0,3518.0,2794.0
162,3964,333,3104,3129,1852,3077,364,1022,3443.0,2472.0,1348.0
163,1929,1330,73,3405,1789,345,3129,1852,364.0,1171.0,2045.0
164,1193,3977,3214,1808,1852,3077,364,1171,3763.0,2045.0,1044.0
165,1929,3773,2101,3485,3494,3129,1852,364,1171.0,1022.0,3763.0
166,3272,1500,1793,239,3129,1852,3077,3763,1524.0,90.0,1532.0
167,1929,3773,73,3807,412,3374,1852,364,1171.0,1022.0,3763.0
168,3035,1227,1695,3129,1852,3077,364,1171,1022.0,3763.0,2045.0
169,1574,3773,73,567,2271,1789,3071,3129,1852.0,3077.0,364.0
170,1574,3773,3571,2672,2359,2534,3129,1852,3077.0,1022.0,2045.0
171,1929,1330,1695,2954,3129,1852,3077,3763,1563.0,1532.0,2472.0
172,1574,3773,1793,728,3049,2947,3129,3077,364.0,1022.0,3763.0
173,3964,3773,1793,685,1852,3077,364,3763,536.0,785.0,1009.0
174,2657,1500,1663,2805,3129,3077,2045,536,785.0,1532.0,3771.0
175,3035,3568,3214,3570,3129,1852,3077,364,1171.0,2045.0,536.0
176,3730,1033,3571,618,3129,3077,1022,536,3821.0,3552.0,3771.0
177,3964,2974,1663,2686,3129,1852,3077,1171,1022.0,2045.0,536.0
178,2657,1500,3214,2621,3077,364,3763,2045,536.0,1366.0,404.0
179,2048,3977,1695,3077,364,1171,3763,2045,536.0,211.0,1944.0
180,3964,354,3571,3369,3129,364,1171,1022,3763.0,2045.0,536.0
181,2048,3977,3214,3129,3077,1022,536,712,2311.0,2472.0,1348.0
182,2589,224,1793,3833,3129,1852,3077,364,2840.0,1759.0,1643.0
183,3730,3773,3571,806,3596,3129,3077,1171,1022.0,536.0,1985.0
184,3272,3977,73,756,3129,1852,3077,1171,2045.0,536.0,3836.0
185,3035,3977,1663,3129,1852,3077,364,3763,137.0,2472.0,1348.0
186,3730,3773,3104,1254,3129,1852,3077,1171,1022.0,3763.0,2045.0
187,3730,3773,1793,3637,2947,3129,1852,3077,364.0,1171.0,3763.0
188,1574,3773,3214,1718,350,3291,3129,1852,3077.0,364.0,2045.0
189,3730,3773,1012,3129,1852,3077,364,1171,1022.0,3763.0,2045.0
190,1193,976,1663,582,3129,1852,364,1171,3763.0,536.0,1475.0
191,1929,1330,73,2791,3273,1789,3129,3077,364.0,1171.0,2045.0
192,1286,1515,1663,3129,1852,364,1171,3763,536.0,3518.0,1532.0
193,2048,3495,73,3551,1852,364,1171,1022,3763.0,2045.0,2336.0
194,3035,2974,3104,1812,3129,1852,3077,364,3763.0,2045.0,536.0
195,1929,3773,1663,1194,676,1852,3077,364,1171.0,3763.0,2045.0
196,1574,3773,1663,2890,567,2670,676,1796,3129.0,1852.0,3077.0
197,2589,376,3104,3341,3077,1171,3763,2045,536.0,1968.0,1532.0
198,3964,3533,357,3129,1852,3077,364,1171,1022.0,3763.0,2045.0
199,1929,1330,1793,2415,654,2947,1852,3077,364.0,1171.0,1022.0
200,1193,3568,1663,553,1852,3077,364,536,3567.0,2344.0,1532.0
201,3035,2566,1663,3560,1852,3077,1171,536,1968.0,2313.0,1532.0
202,3730,3773,1663,1601,3129,1852,3077,1171,1022.0,3763.0,2045.0
203,1286,1800,73,1851,1852,1171,1022,3763,2045.0,536.0,1366.0
204,1574,3773,73,2685,1938,3665,3003,1233,3944.0,1789.0,1155.0
205,416,376,1793,3833,3129,1852,3077,364,1171.0,1022.0,3763.0
206,3730,3773,1793,4002,2947,3129,1852,3077,364.0,1171.0,1022.0
207,1929,3773,4003,2151,861,17,3129,1852,3077.0,1171.0,3763.0
208,3964,1461,277,3129,1852,3077,364,1171,1022.0,3763.0,2045.0
209,1574,3773,3214,1718,2478,3291,3129,1852,3077.0,1171.0,1022.0
210,3964,3796,73,1789,1852,3077,364,1022,536.0,1026.0,2564.0
211,1574,3773,1793,1324,232,2947,1852,3077,364.0,1171.0,1022.0
212,1929,1330,73,2791,1861,1789,3129,1852,3077.0,1171.0,1022.0
213,1193,1515,1793,2067,364,1171,3763,2045,536.0,3175.0,1983.0
214,3964,1727,1793,847,3129,1852,3077,364,1022.0,3763.0,536.0
215,2657,3977,3104,3129,1852,364,1171,2045,1321.0,2957.0,3771.0
216,2657,1790,3214,1627,3129,364,1171,1022,3763.0,2045.0,536.0
217,1574,3773,73,728,1233,1789,3077,1022,3763.0,536.0,2888.0
218,2589,1800,1793,3667,1852,3077,364,1022,3763.0,2045.0,536.0
219,2589,1515,3104,1852,3077,364,3763,2045,536.0,169.0,1532.0
220,1574,3773,1793,2803,66,2670,2947,3129,1852.0,3077.0,1171.0
221,1574,3773,925,25,1233,2963,3129,1852,3763.0,2045.0,536.0
222,3433,3773,1663,3141,3129,1852,3077,1171,1022.0,3763.0,3821.0
223,1193,1886,3571,737,3129,3077,364,1171,1022.0,2045.0,536.0
224,2657,509,73,839,3129,1852,3077,364,1171.0,1022.0,3763.0
225,1574,3773,1695,1462,3084,420,1852,3077,364.0,1171.0,1022.0
226,3730,1033,1793,2947,1852,3077,1022,3545,2235.0,3552.0,1532.0
227,416,2974,1663,819,3129,1852,3077,364,1171.0,1022.0,3763.0
228,2048,3773,1793,2392,3129,1852,3077,1171,1022.0,3763.0,2045.0
229,1574,3773,3571,22,3049,2534,1852,3077,364.0,1171.0,3763.0
230,3035,1800,1663,1856,1852,3077,364,1022,3763.0,2045.0,536.0
231,3964,1461,1663,2981,1852,3077,1171,1022,3763.0,2045.0,1026.0
232,3035,1500,1793,3129,1852,3077,364,1171,1022.0,536.0,2119.0
233,3433,746,3214,2633,1852,3077,364,1171,1022.0,2045.0,536.0
234,1574,3773,1793,1718,470,2947,2318,3129,1852.0,3077.0,364.0
235,1193,2527,1793,1760,3129,1852,3077,364,1171.0,3763.0,2045.0
236,2657,3977,3214,1953,3129,1852,3077,364,1171.0,3763.0,2045.0
237,3730,3773,1663,861,819,3077,364,1171,1022.0,536.0,2046.0
238,1574,3773,3571,3313,1133,1870,1233,208,52.0,3367.0,2534.0
239,3272,333,1793,3129,1852,3077,1022,3763,1125.0,687.0,1532.0
240,3035,976,1663,3240,3129,3077,364,1171,1022.0,536.0,3749.0
241,416,509,925,1875,3129,1852,3077,1171,1022.0,3763.0,2045.0
242,2048,1886,73,878,1852,3077,364,1022,536.0,271.0,3147.0
243,416,1515,3214,581,3129,1852,3077,364,536.0,497.0,2390.0
244,416,372,1663,1852,3077,364,3763,536,3192.0,370.0,2472.0
245,1574,3773,3214,1754,350,3291,3129,1852,364.0,1171.0,1022.0
246,1193,372,73,2529,3129,1852,3077,1022,150.0,2535.0,2515.0
247,1574,3773,1793,1754,350,2947,1852,3077,364.0,1171.0,1022.0
248,3730,3773,73,1058,1789,3129,1852,3077,364.0,1022.0,3763.0
249,1574,3773,1663,2784,1233,676,3129,3077,364.0,1022.0,3763.0
250,3730,509,1663,819,1852,1022,536,1896,3205.0,2196.0,2472.0
251,1929,3773,1695,297,1849,1743,3129,1852,364.0,1171.0,1022.0
252,1574,3773,1663,1324,2478,676,1852,3077,364.0,1171.0,1022.0
253,3272,1500,1012,1852,3077,1171,1022,3763,2045.0,301.0,3275.0
254,3433,746,3571,768,3129,1852,364,1171,1022.0,3763.0,2045.0
255,1193,2437,1663,819,1852,3077,364,1171,1022.0,536.0,3749.0
256,1929,3773,1663,2580,412,676,1852,3077,1171.0,1022.0,3763.0
257,3433,509,1663,3560,3129,1852,3077,364,1022.0,3749.0,1532.0
258,3964,1727,2064,3129,1852,3077,364,1171,1022.0,536.0,1413.0
259,1929,3773,1793,1002,254,2947,3129,3077,364.0,1171.0,1022.0
260,1193,3290,3214,1953,3129,1852,1022,3763,2045.0,2879.0,1532.0
261,416,2095,3214,2631,3129,1852,1171,3763,536.0,2069.0,631.0
262,1193,3624,1663,2981,364,1171,1022,3763,536.0,1583.0,1434.0
263,1929,3773,3104,1233,1245,1852,3077,1022,3763.0,3652.0,2999.0
264,1286,93,1663,304,3129,1852,3077,364,1171.0,1022.0,3763.0
265,416,2118,1663,3129,1852,1171,536,1985,2154.0,3771.0,3794.0
266,416,2632,2101,655,3129,1852,3077,1022,3763.0,536.0,1799.0
267,1574,3773,1663,22,470,676,3129,1852,1171.0,1022.0,2045.0
268,1929,3773,1793,101,3689,1670,1852,3077,364.0,3763.0,536.0
269,2048,509,1793,1670,3129,1852,364,1171,1022.0,3763.0,2045.0
270,3964,3773,1663,1798,3129,1852,3077,364,1171.0,1022.0,3763.0
271,1929,1330,1793,125,2947,3129,1852,3077,1171.0,3763.0,2045.0
272,3964,2974,1663,3129,3077,1171,3763,2045,2369.0,2204.0,3771.0
273,416,3568,1695,3516,1852,3077,364,1022,3763.0,2045.0,2840.0
274,3964,1461,4003,3129,3077,364,1171,1022,3763.0,2045.0,536.0
275,3964,2095,3214,3129,1852,3077,364,1022,3763.0,16.0,368.0
276,2657,3233,73,2838,3129,1852,364,1171,1022.0,2045.0,536.0
277,3035,1500,1663,2444,3077,364,1171,1022,3942.0,3771.0,1348.0
278,1286,1800,1663,64,3129,1852,3077,364,1171.0,1022.0,3763.0
279,3964,2095,1663,218,3129,1852,3077,1022,3763.0,2045.0,536.0
280,1929,3773,1793,297,1038,1894,3129,1852,3077.0,1171.0,1022.0
281,3035,2437,1663,3129,1852,3077,364,1171,3763.0,2045.0,536.0
282,2048,3937,1793,1852,3077,364,1022,536,1799.0,1532.0,2472.0
283,1574,3773,3571,1995,1233,2534,1575,3077,1022.0,3763.0,2045.0
284,416,372,3214,278,1852,3077,364,1469,549.0,874.0,2472.0
285,2657,3233,73,878,1852,3077,364,1022,3763.0,2045.0,536.0
286,1929,3773,925,1716,2963,3077,364,1171,2045.0,536.0,3169.0
287,3433,3773,1663,819,1171,1022,2045,536,3027.0,1108.0,1944.0
288,3433,746,1793,2947,1852,3077,3763,3815,1524.0,2289.0,2472.0
289,1574,3773,73,66,2271,1789,3077,1171,1022.0,536.0,2863.0
290,1574,3773,73,1728,2202,1789,3129,1852,3077.0,364.0,1171.0
291,2657,3773,3214,1878,1852,3077,364,1022,3763.0,2045.0,536.0
292,1574,3773,3214,1728,2271,3291,3129,3077,1022.0,3763.0,536.0
293,3964,1515,3214,144,3129,3077,1171,1022,3763.0,816.0,3655.0
294,3730,1033,1663,676,3129,1852,364,1171,536.0,2195.0,2472.0
295,3433,1033,3214,2621,3129,1171,3763,2459,1532.0,2472.0,194.0
296,2048,1800,3571,3596,3129,364,1022,3763,4000.0,2277.0,1532.0
297,1286,3997,1663,3560,3129,1852,3077,364,1171.0,3763.0,2045.0
298,2589,224,3214,3129,1852,3077,364,1171,3763.0,536.0,646.0
299,1574,3773,1793,770,3416,3084,2947,1468,3129.0,1852.0,3077.0
300,3433,3773,1793,1318,3129,3077,364,1171,3763.0,2045.0,536.0
301,2657,3773,3214,1808,3129,1852,3077,364,1171.0,1022.0,3763.0
302,2657,509,73,2529,1852,3077,364,1171,1022.0,536.0,1524.0
303,1193,1249,1793,847,1852,3077,1171,536,2825.0,3399.0,1532.0
304,3730,3773,3571,3002,3077,364,1171,1022,3763.0,536.0,3027.0
305,416,2118,3571,574,3129,1852,3077,364,1022.0,2045.0,69.0
306,1574,3773,1663,1324,470,676,3129,1852,3077.0,364.0,1171.0
307,3730,509,73,1789,1171,3763,2045,536,3946.0,2515.0,2472.0
308,1000,1790,73,3129,1852,3077,364,1171,1022.0,3763.0,2045.0
309,2048,2566,3214,1627,3129,1852,3077,364,1171.0,1022.0,3763.0
310,3964,3796,3571,8,3129,1852,3077,364,1171.0,1022.0,3763.0
311,2048,746,925,1875,3129,1852,3077,1171,1022.0,3763.0,2045.0
312,3730,3773,73,332,1852,3077,364,1022,3763.0,2045.0,536.0
313,3433,3796,73,1183,1852,3077,3763,2045,536.0,1624.0,137.0
314,416,3568,1663,3361,3129,3077,364,1171,2045.0,536.0,2195.0
315,3730,3773,1793,2194,1670,3129,3077,364,1171.0,1022.0,3763.0
316,3964,3533,925,310,3129,1852,3077,364,1171.0,3763.0,1366.0
317,3730,3773,1663,819,3129,1852,364,1022,3763.0,536.0,2520.0
318,3964,1515,925,1605,1852,3077,364,1171,1022.0,3763.0,536.0
319,1193,1886,1793,1852,3077,3763,2045,1044,1532.0,2472.0,673.0
320,1286,1500,1793,1852,3077,364,1171,3763,2045.0,536.0,3460.0
321,3272,746,3214,667,3129,1852,3077,1171,2045.0,536.0,3192.0
322,3730,3773,1793,1642,1290,3129,1852,364,1171.0,1022.0,3763.0
323,1193,3290,1663,3890,3129,1852,3077,364,1171.0,1022.0,3518.0
324,3433,3796,73,1789,1852,3077,364,1171,1022.0,3763.0,536.0
325,1193,3971,1793,2540,1852,3077,364,3763,536.0,169.0,3770.0
326,3272,3971,3214,2593,1852,1171,1022,3763,2045.0,536.0,1928.0
327,3964,3773,3214,241,3129,3077,364,1171,3763.0,2045.0,1920.0
328,3730,1033,3214,2665,1852,3763,536,2606,3209.0,2472.0,1348.0
329,1574,3773,1793,25,2438,1233,2947,1162,1852.0,3077.0,1171.0
330,1929,3773,925,1778,3689,842,3129,3077,1171.0,3763.0,2045.0
331,1574,3773,1793,963,138,567,2160,1233,522.0,2947.0,2032.0
332,3272,1800,1663,3240,3077,364,3763,536,78.0,1532.0,3771.0
333,1286,3971,1695,569,3129,1852,1022,2045,536.0,1366.0,2311.0
334,3730,3773,3214,804,1852,3077,1171,3763,536.0,1583.0,119.0
335,2589,3977,3214,1495,3129,1852,3077,1171,1022.0,2045.0,536.0
336,1193,3568,3214,1852,3077,1171,1022,3763,2045.0,2069.0,986.0
337,3272,1515,1695,3129,1852,364,1171,2045,1321.0,3255.0,2787.0
338,416,1848,1793,236,1852,364,1022,3763,2045.0,536.0,2565.0
339,3964,3773,3214,241,364,1171,1022,3763,2045.0,536.0,3821.0
340,3964,3533,73,2838,3129,1852,3077,364,1171.0,3763.0,536.0
341,1193,3773,3571,3347,3129,1852,3077,364,3763.0,2045.0,536.0
342,2657,1227,1663,356,1852,3077,1171,536,3942.0,1024.0,2472.0
343,2048,3937,3214,3129,1852,3077,364,1022,3763.0,785.0,2701.0
344,3433,509,1793,847,3077,364,1171,3763,3487.0,3447.0,266.0
345,416,2974,1793,2016,1852,3077,364,1022,2045.0,536.0,3234.0
346,1193,2437,3214,1953,3077,364,1171,2045,536.0,3942.0,3771.0
347,3964,1515,3104,3129,1852,3077,1022,3763,2045.0,3192.0,2596.0
348,3964,1727,925,310,3129,1852,1171,3763,2045.0,2369.0,1532.0
349,3730,509,1663,2107,531,3129,1852,3077,3763.0,536.0,2628.0
350,3433,509,3571,1534,3129,1852,3077,1022,3763.0,2045.0,536.0
351,1193,1249,1663,3814,1852,3077,1171,3763,2045.0,1090.0,794.0
352,3035,1360,925,1307,1852,3077,364,1022,3763.0,536.0,3192.0
353,3433,3773,277,1646,1852,3077,364,1171,3763.0,2045.0,2644.0
354,1929,3773,1663,3221,676,1852,1171,3763,536.0,2565.0,2492.0
355,1929,3773,1793,3719,3699,2947,3129,1852,3077.0,1022.0,2045.0
356,1193,746,1663,553,3129,1852,3077,364,1171.0,1022.0,2045.0
357,2048,1800,925,302,3129,1852,3077,364,1171.0,3763.0,2045.0
358,1193,224,3214,692,1852,364,1171,1022,3763.0,2045.0,536.0
